Date,Stock,Amount,NumberStocks
1/6/2023,SIMH3,210.87,1800
1/6/2023,MOVI3,209.38,1620
1/16/2023,CSUD3,88.45,660
1/16/2023,CARD3,89.25,1080
1/16/2023,CSUD3,100.51,750
1/16/2023,CARD3,107.42,1000
1/23/2023,TAEE4,667.63,1500
2/3/2023,SHUL4,171.07,3000
2/15/2023,BPAC11,91.64,730
2/15/2023,BPAC11,121.66,730
3/1/2023,BBSE3,2,667.81,1450
3/1/2023,BBSE3,43.50,1450
3/10/2023,ITSA4,395.51,3300
3/30/2023,BRSR6,1,247.02,4000
4/3/2023,ITSA4,74.00,3700
4/4/2023,VAMO3,161.11,725
4/5/2023,MOVI3,245.16,1900
4/11/2023,TRPL4,1,444.87,1600
5/5/2023,RECV3,310.89,700
5/9/2023,TASA3,1,710.21,1320
5/9/2023,SHUL4,183.53,3000
5/19/2023,BRSR6,145.03,4000
5/19/2023,MOVI3,169.09,1400
5/31/2023,SIMH3,37.10,1900
6/29/2023,BRSR6,1,164.86,4000
7/3/2023,ITSA4,84.00,4200
7/4/2023,SHUL4,163.43,3000
7/5/2023,VAMO3,13.83,800
7/5/2023,AMBP3,67.06,500
1/9/2023,BDORY,24.45,500
3/1/2023,ENB,88.62,160
3/13/2023,BDORY,1.14,550
3/13/2023,BDORY,24.84,550
3/13/2023,BDORY,45.04,550
3/13/2023,BDORY,0.22,550
3/29/2023,VALE,69.40,200
3/29/2023,VALE,9.43,200
4/10/2023,BDORY,32.33,550
6/1/2023,ENB,103.67,185
6/22/2023,BDORY,13.88,550
6/22/2023,BDORY,62.79,550
